uniqid_eco4,NLCD06_11_eco4,NLCD06_12_eco4,NLCD06_21_eco4,NLCD06_22_eco4,NLCD06_23_eco4,NLCD06_24_eco4,NLCD06_31_eco4,NLCD06_41_eco4,NLCD06_42_eco4,NLCD06_43_eco4,NLCD06_52_eco4,NLCD06_71_eco4,NLCD06_81_eco4,NLCD06_82_eco4,NLCD06_90_eco4,NLCD06_95_eco4,NLCD06_9999_eco4
145,0.16,0.00,0.17,0.02,0.00,0.00,0.18,0.23,51.86,0.07,34.44,11.28,0.11,0.01,0.60,0.86,0.00
146,6.29,0.00,0.37,0.05,0.02,0.00,0.06,0.96,53.93,0.05,28.48,6.83,0.03,0.04,1.10,1.80,0.00
147,1.52,0.00,0.18,0.03,0.01,0.00,0.33,2.39,61.93,0.22,23.77,9.02,0.02,0.00,0.37,0.21,0.00
148,0.36,0.00,0.11,0.01,0.00,0.00,0.45,0.46,67.57,0.06,21.59,8.99,0.02,0.01,0.27,0.10,0.00
149,0.10,0.00,0.17,0.05,0.01,0.00,0.16,1.22,48.22,0.03,32.60,17.09,0.03,0.00,0.19,0.11,0.00
150,5.25,0.00,2.00,0.44,0.09,0.01,0.10,1.43,14.77,0.25,42.75,13.81,4.82,2.50,3.39,8.40,0.00
151,0.88,0.00,0.16,0.01,0.00,0.00,0.13,5.72,47.38,0.14,36.07,8.60,0.11,0.23,0.26,0.29,0.00
152,1.10,0.00,1.76,0.45,0.04,0.00,0.01,0.03,24.00,0.19,5.69,42.28,13.57,3.48,7.41,0.01,0.00
153,0.02,0.00,0.21,0.08,0.03,0.00,0.78,0.17,78.96,0.13,4.98,14.38,0.19,0.01,0.06,0.00,0.00
154,0.05,0.00,0.13,0.04,0.02,0.00,0.04,2.63,50.14,0.65,22.35,21.75,0.22,0.00,1.96,0.02,0.00
155,0.61,0.00,4.63,3.83,1.68,0.26,0.02,0.02,17.33,0.01,19.93,22.70,17.53,4.93,2.30,4.20,0.00
156,0.00,0.00,0.18,0.01,0.00,0.00,0.00,6.36,47.41,0.00,22.59,17.38,1.97,0.07,4.01,0.00,0.00
157,1.73,0.00,2.25,0.30,0.02,0.00,0.08,0.24,2.47,0.07,20.66,49.39,13.21,6.67,2.35,0.55,0.00
158,0.08,0.00,0.27,0.12,0.02,0.00,0.20,0.01,64.39,0.10,15.60,18.97,0.14,0.08,0.02,0.00,0.00
159,2.59,0.00,3.84,2.18,0.59,0.07,0.04,0.05,3.87,0.06,12.00,49.94,13.49,9.56,1.63,0.10,0.00
160,0.26,0.00,0.23,0.08,0.02,0.00,0.43,0.04,75.16,0.20,15.48,6.83,0.39,0.20,0.66,0.00,0.00
161,0.13,0.00,0.46,0.12,0.01,0.00,0.02,0.12,23.16,0.02,34.94,40.39,0.45,0.03,0.14,0.02,0.00
162,0.19,0.00,0.00,0.00,0.00,0.00,0.09,0.18,69.45,0.04,22.43,7.48,0.00,0.00,0.10,0.03,0.00
163,0.48,0.00,0.56,0.19,0.05,0.01,0.69,0.08,0.57,0.00,84.20,9.84,1.69,0.19,0.61,0.85,0.00
164,0.45,0.00,0.65,0.23,0.05,0.01,0.24,0.06,0.87,0.01,59.41,32.21,2.94,1.20,0.89,0.78,0.00
165,4.41,0.00,1.64,0.52,0.11,0.02,0.06,0.55,1.03,0.02,51.75,3.65,23.86,0.54,3.89,7.95,0.00
166,0.21,0.00,0.28,0.09,0.02,0.00,0.29,0.60,7.59,0.16,70.65,17.86,0.92,0.02,0.56,0.74,0.00
167,0.24,0.00,0.45,0.20,0.05,0.01,2.63,0.00,0.11,0.00,90.01,5.47,0.29,0.02,0.27,0.25,0.00
168,0.69,0.00,1.03,0.31,0.16,0.02,0.19,0.21,0.33,0.01,75.68,10.68,4.29,0.00,1.44,4.97,0.00
169,0.61,0.00,0.77,0.61,0.11,0.02,1.97,0.02,0.03,0.01,42.83,43.19,3.48,3.88,1.45,1.03,0.00
170,0.86,0.02,0.02,0.00,0.00,0.00,37.45,0.63,20.95,0.07,19.76,20.02,0.00,0.00,0.22,0.00,0.00
171,0.86,0.00,0.16,0.03,0.00,0.00,2.71,0.36,85.30,0.22,6.56,3.18,0.00,0.00,0.60,0.00,0.00
172,0.30,0.00,0.64,0.21,0.01,0.00,0.35,18.70,60.94,3.80,12.95,1.12,0.05,0.00,0.88,0.07,0.00
173,0.22,0.00,0.61,0.04,0.01,0.00,1.17,39.16,31.47,3.54,22.57,1.16,0.01,0.00,0.04,0.00,0.00
174,0.38,0.00,0.74,0.28,0.05,0.00,1.42,12.92,48.52,8.90,24.99,1.67,0.00,0.00,0.13,0.00,0.00
175,0.33,0.00,0.94,0.30,0.09,0.01,0.48,24.12,34.85,0.28,36.42,0.96,0.83,0.16,0.13,0.13,0.00
176,2.94,0.00,3.16,1.50,0.60,0.05,0.59,4.38,6.96,0.04,61.72,0.62,12.80,3.95,0.68,0.01,0.00
177,5.11,0.00,7.47,4.90,2.43,0.69,5.17,1.84,23.15,6.57,8.86,6.61,9.26,1.29,8.43,8.22,0.00
