uniqid_county,NWALT92_11_county,NWALT92_12_county,NWALT92_21_county,NWALT92_22_county,NWALT92_23_county,NWALT92_24_county,NWALT92_25_county,NWALT92_26_county,NWALT92_27_county,NWALT92_31_county,NWALT92_32_county,NWALT92_33_county,NWALT92_41_county,NWALT92_43_county,NWALT92_44_county,NWALT92_45_county,NWALT92_46_county,NWALT92_50_county,NWALT92_60_county,NWALT92_9999_county
1087,0.69,6.41,0.41,0.20,0.07,0.04,0.04,0.30,0.30,0.01,1.11,0.06,1.20,8.62,7.11,0.35,2.80,70.28,0.00,0.00
1088,0.69,6.54,0.63,0.18,0.04,0.07,0.00,0.49,0.52,0.00,1.20,0.00,0.00,17.56,7.94,0.27,1.53,62.34,0.00,0.00
1089,0.25,0.05,0.66,0.05,0.01,0.02,0.00,0.13,0.19,0.00,0.72,0.00,0.00,0.16,7.01,0.38,0.66,89.71,0.00,0.00
1090,0.55,13.37,0.97,0.58,0.12,0.18,0.05,0.95,1.01,0.02,1.96,0.04,0.00,32.46,4.87,0.25,1.73,40.90,0.00,0.00
1091,0.40,13.78,0.68,0.15,0.04,0.04,0.00,0.26,0.45,0.00,0.32,0.00,0.00,23.45,6.25,0.16,1.95,51.88,0.18,0.00
1092,1.40,0.11,0.36,0.07,0.02,0.00,0.00,0.15,0.39,0.00,0.41,0.00,0.15,0.25,5.52,0.30,0.91,89.96,0.00,0.00
1093,0.77,6.71,0.54,0.10,0.15,0.01,0.00,0.40,0.31,0.00,2.69,0.13,1.55,2.18,3.31,0.16,1.25,79.72,0.00,0.00
1094,0.79,8.64,0.37,0.11,0.01,0.07,0.00,0.23,0.23,0.00,0.91,0.02,0.00,7.05,5.76,0.44,1.24,74.12,0.00,0.00
1095,4.28,40.04,0.55,0.11,0.01,0.05,0.02,0.24,0.58,0.00,0.32,0.12,0.02,0.03,0.30,0.07,0.08,52.17,1.01,0.00
1096,0.52,5.47,0.84,0.23,0.13,0.06,0.01,0.46,0.70,0.01,0.75,0.01,0.00,21.15,4.30,0.23,0.80,64.33,0.00,0.00
1097,0.59,4.99,1.35,0.15,0.03,0.03,0.00,0.35,0.48,0.00,0.78,0.00,0.00,10.75,5.66,0.39,2.16,72.29,0.00,0.00
1098,2.76,0.87,1.26,0.51,0.21,0.05,0.01,0.95,1.02,0.01,2.86,0.04,0.14,3.42,10.23,0.13,2.08,73.44,0.00,0.00
1099,0.68,10.51,0.76,0.34,0.07,0.06,0.00,0.52,0.82,0.00,1.03,0.00,0.00,22.98,7.39,0.25,0.57,53.78,0.24,0.00
1100,0.70,26.54,0.40,0.07,0.11,0.00,0.00,0.12,0.60,0.00,0.34,0.04,0.03,1.74,1.91,0.19,0.16,67.01,0.02,0.00
1101,9.34,0.05,0.92,0.55,0.18,0.15,0.00,1.73,1.76,0.00,8.02,0.00,0.10,0.48,35.75,2.15,4.40,34.41,0.00,0.00
1102,0.83,8.97,0.89,0.26,0.06,0.05,0.00,0.48,0.47,0.00,2.29,0.00,0.02,10.88,7.77,0.50,1.65,64.86,0.00,0.00
1103,0.60,3.37,0.71,0.46,0.26,0.07,0.17,0.93,0.81,0.01,1.21,0.00,0.01,20.21,7.34,0.37,1.84,61.61,0.00,0.00
1104,0.93,3.14,0.82,0.45,0.09,0.05,0.00,0.48,1.73,0.00,3.36,0.01,0.03,5.64,20.47,0.92,2.09,59.80,0.00,0.00
1105,1.10,37.16,0.83,0.95,0.17,0.37,0.42,3.87,0.84,0.15,6.40,0.91,0.00,17.67,0.19,0.17,0.03,27.76,1.01,0.00
1106,2.66,0.32,1.72,1.39,0.60,0.29,0.30,6.78,0.61,0.36,28.23,0.01,0.01,0.69,22.89,1.22,1.96,29.95,0.00,0.00
1107,0.39,12.96,1.05,0.43,0.08,0.11,0.00,0.37,0.97,0.00,0.54,0.00,0.00,37.60,0.32,0.18,0.62,44.34,0.03,0.00
1108,0.92,9.82,1.25,0.72,0.20,0.10,0.05,1.20,1.85,0.01,4.51,0.02,0.07,29.39,9.82,0.25,2.30,37.53,0.00,0.00
1109,0.54,0.06,0.76,1.01,0.54,0.24,0.06,5.13,0.80,0.00,15.57,0.01,0.00,0.33,12.02,0.28,0.18,62.46,0.00,0.00
1110,1.40,2.76,1.07,0.59,0.46,0.16,0.14,1.83,1.15,0.02,6.03,0.01,0.25,8.25,3.87,0.12,1.49,70.41,0.00,0.00
1111,2.23,0.36,0.60,0.33,0.13,0.14,0.00,0.64,1.04,0.00,5.31,0.00,0.15,2.07,6.81,0.32,0.99,78.79,0.08,0.00
1112,0.45,0.27,0.63,1.13,0.39,0.27,0.03,2.52,1.53,0.24,7.81,0.02,0.01,2.45,41.58,1.05,1.15,38.47,0.00,0.00
1113,0.96,12.97,1.62,2.46,2.65,0.36,1.48,6.13,0.92,6.13,6.29,0.04,0.10,18.56,2.76,0.14,0.60,35.59,0.23,0.00
1114,1.69,0.20,1.26,1.15,0.55,0.27,0.00,5.71,0.98,0.37,17.23,0.02,0.00,0.39,10.18,0.27,0.18,55.92,3.61,0.00
