uniqid_eco4,NWALT12_11_eco4,NWALT12_12_eco4,NWALT12_21_eco4,NWALT12_22_eco4,NWALT12_23_eco4,NWALT12_24_eco4,NWALT12_25_eco4,NWALT12_26_eco4,NWALT12_27_eco4,NWALT12_31_eco4,NWALT12_32_eco4,NWALT12_33_eco4,NWALT12_41_eco4,NWALT12_43_eco4,NWALT12_44_eco4,NWALT12_45_eco4,NWALT12_46_eco4,NWALT12_50_eco4,NWALT12_60_eco4,NWALT12_9999_eco4
700,1.46,4.83,1.81,1.20,0.42,0.96,0.55,5.22,0.64,0.16,23.08,0.01,0.22,25.16,11.93,0.50,0.02,20.31,1.50,0.00
701,1.12,2.66,2.42,1.69,0.50,0.51,0.87,6.34,0.37,1.13,35.95,0.02,0.01,15.24,16.56,0.41,0.02,14.02,0.16,0.00
702,2.45,1.80,3.59,2.04,0.28,1.70,0.64,7.25,0.50,0.25,36.04,0.01,0.14,9.45,6.09,0.17,0.01,26.90,0.70,0.00
703,1.70,1.13,0.67,0.24,0.02,0.13,0.00,1.34,0.28,0.01,21.34,0.00,0.00,0.57,1.94,0.04,0.00,65.90,4.70,0.00
704,0.43,0.00,0.69,0.37,0.15,0.10,0.02,1.76,1.25,0.04,5.90,0.03,0.34,0.45,12.58,1.06,1.90,71.78,1.15,0.00
705,12.86,1.44,1.43,0.64,0.85,0.15,0.00,2.84,1.00,0.00,7.64,0.06,0.23,7.33,27.59,0.66,1.40,33.87,0.00,0.00
706,0.92,0.03,0.34,0.07,0.03,0.05,0.01,0.47,0.49,0.39,4.57,0.00,0.19,1.18,5.46,0.19,0.31,83.64,1.68,0.00
707,0.50,0.03,0.59,0.45,0.17,0.10,0.02,2.57,0.88,0.20,10.38,0.00,0.16,6.44,36.60,0.82,0.80,38.52,0.75,0.00
708,2.51,0.08,0.38,0.09,0.05,0.02,0.00,0.66,0.59,0.00,7.42,0.02,0.38,1.25,13.51,0.54,0.55,69.56,2.39,0.00
709,1.32,0.04,0.73,0.50,0.41,0.11,0.04,2.68,0.67,1.40,11.05,0.09,1.38,0.44,5.40,0.37,0.52,72.85,0.00,0.00
710,0.74,0.12,0.66,0.22,0.16,0.11,0.06,0.74,0.61,0.02,4.11,0.04,0.98,0.73,4.02,0.37,0.03,83.92,2.36,0.00
711,0.88,0.02,1.28,0.53,0.68,0.16,0.29,1.12,0.94,0.51,5.80,0.16,1.75,3.50,15.94,0.63,0.06,65.74,0.03,0.00
712,0.81,0.19,1.56,0.62,0.09,0.09,0.12,1.69,0.92,0.01,5.52,0.01,0.14,0.78,23.54,2.99,0.50,60.39,0.02,0.00
713,0.34,0.00,0.61,0.27,0.11,0.02,0.05,0.66,0.89,0.07,8.58,0.04,2.12,0.12,2.40,0.16,0.14,83.31,0.12,0.00
714,0.25,0.00,0.91,0.29,0.08,0.03,0.13,0.84,0.87,0.02,4.50,0.00,2.27,0.00,0.67,0.26,0.08,87.83,0.96,0.00
715,0.03,0.00,0.20,0.02,0.02,0.06,0.04,0.09,0.11,0.10,0.87,0.01,0.01,0.15,0.84,0.74,2.47,87.68,6.52,0.00
716,1.22,0.00,0.36,0.07,0.56,0.03,0.00,0.01,0.23,0.00,0.21,0.20,0.04,1.38,0.26,0.60,71.46,23.38,0.00,0.00
717,0.06,0.00,1.21,1.51,1.29,0.04,0.81,0.62,0.60,0.04,0.25,0.26,0.10,48.73,2.31,5.03,28.57,8.58,0.00,0.00
718,0.01,0.00,0.18,0.03,0.17,0.02,0.00,0.07,0.44,0.00,0.35,0.02,1.99,0.13,0.21,1.05,37.79,57.53,0.00,0.00
719,0.04,0.00,0.25,0.02,0.13,0.02,0.00,0.00,0.14,0.00,0.00,0.00,0.10,0.03,0.00,1.42,51.96,45.91,0.00,0.00
720,1.73,0.00,0.20,0.08,0.01,0.06,0.02,0.68,0.12,0.01,5.69,0.00,0.00,0.00,0.03,0.40,2.99,87.99,0.00,0.00
721,0.11,0.15,1.59,1.25,0.77,0.19,1.41,0.82,1.42,0.07,0.34,0.00,0.07,65.51,2.62,1.70,7.95,14.00,0.00,0.00
722,0.09,0.00,0.00,0.08,0.02,0.10,0.02,0.65,0.21,0.05,4.29,0.00,0.00,0.07,0.00,0.04,0.95,50.26,43.15,0.00
723,0.13,0.00,1.07,0.09,0.07,0.18,0.06,0.53,0.45,0.31,2.05,0.00,0.00,0.24,0.14,0.02,2.41,60.70,31.57,0.00
