uniqid_eco4,NWALT74_12_eco4,NWALT74_21_eco4,NWALT74_22_eco4,NWALT74_23_eco4,NWALT74_24_eco4,NWALT74_25_eco4,NWALT74_26_eco4,NWALT74_27_eco4,NWALT74_31_eco4,NWALT74_32_eco4,NWALT74_33_eco4,NWALT74_41_eco4,NWALT74_43_eco4,NWALT74_44_eco4,NWALT74_45_eco4,NWALT74_46_eco4,NWALT74_50_eco4,NWALT74_60_eco4,NWALT74_9999_eco4
593,1.28,0.14,0.02,0.01,0.01,0.01,0.02,0.10,0.00,0.13,0.00,0.01,0.33,0.18,0.00,0.00,91.42,2.27,0.03
594,0.93,0.64,0.20,0.03,0.04,0.00,0.26,0.74,0.00,1.56,0.02,0.04,2.06,2.03,0.05,0.06,89.83,0.01,0.00
595,1.08,4.64,1.19,0.48,0.09,0.00,1.73,1.74,0.00,3.85,0.08,0.13,14.15,9.10,0.22,0.14,53.06,0.22,0.00
596,0.22,0.37,0.07,0.02,0.01,0.01,0.04,0.30,0.00,0.28,0.00,0.03,0.25,0.16,0.00,0.01,90.55,7.36,0.00
597,1.09,0.58,0.12,0.03,0.03,0.01,0.24,0.69,0.00,3.85,0.00,0.06,0.90,2.64,0.04,0.01,86.52,0.33,0.00
598,1.95,0.53,0.25,0.05,0.08,0.01,0.69,1.46,0.04,5.03,0.01,0.08,1.19,2.29,0.06,0.03,74.94,0.57,0.00
599,1.38,0.43,0.11,0.05,0.01,0.05,0.14,0.65,0.01,0.45,0.00,0.02,1.28,2.44,0.07,0.04,90.95,0.00,0.00
600,2.68,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.26,18.60,0.05
601,3.51,0.06,0.02,0.01,0.00,0.00,0.04,0.05,0.00,0.18,0.01,0.02,0.02,0.01,0.00,0.01,77.49,1.30,0.00
602,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.13,0.03,0.00,0.00,95.97,1.01,0.03
603,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.00,0.00,98.72,0.00,0.04
604,1.26,0.85,0.27,0.06,0.11,0.04,1.19,1.51,0.37,3.32,0.01,0.12,5.73,24.11,0.50,0.05,58.86,0.09,0.00
605,0.08,0.16,0.09,0.00,0.07,0.00,0.20,0.33,0.00,2.64,0.00,0.00,0.39,1.26,0.05,0.06,93.95,0.10,0.00
