uniqid_eco4,NWALT74_12_eco4,NWALT74_21_eco4,NWALT74_22_eco4,NWALT74_23_eco4,NWALT74_24_eco4,NWALT74_25_eco4,NWALT74_26_eco4,NWALT74_27_eco4,NWALT74_31_eco4,NWALT74_32_eco4,NWALT74_33_eco4,NWALT74_41_eco4,NWALT74_43_eco4,NWALT74_44_eco4,NWALT74_45_eco4,NWALT74_46_eco4,NWALT74_50_eco4,NWALT74_60_eco4,NWALT74_9999_eco4
831,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,40.18,58.77,0.01
832,0.01,0.04,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.48,51.59,47.73,0.02
833,0.04,0.09,0.04,0.00,0.01,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.05,0.43,0.05,3.42,94.34,0.77,0.00
834,0.00,0.02,0.17,0.00,0.02,0.00,0.09,0.25,0.00,0.11,0.00,0.00,0.06,0.19,0.00,0.65,91.84,0.43,0.00
835,0.13,0.14,0.01,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.16,68.54,26.92,0.00
836,0.09,0.45,0.08,0.04,0.03,0.03,0.26,0.65,0.00,0.26,0.00,0.02,1.27,1.63,0.11,1.26,92.32,0.51,0.00
837,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.78,89.08,0.00
838,0.49,1.86,2.08,1.09,0.45,0.80,7.43,2.24,0.37,2.11,0.02,0.16,16.27,25.24,4.29,3.48,30.41,0.29,0.00
839,0.04,0.33,0.12,0.03,0.07,0.00,0.30,1.33,0.10,0.39,0.01,0.01,1.72,6.10,1.74,2.55,84.24,0.65,0.00
840,0.00,0.79,0.44,0.25,0.14,0.08,1.20,1.08,0.01,0.78,0.00,0.06,0.96,21.08,2.16,1.94,68.60,0.00,0.00
841,0.00,0.13,0.00,0.00,0.06,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.39,11.23,0.00
842,0.00,0.17,0.02,0.02,0.02,0.00,0.09,0.47,0.00,0.12,0.00,0.04,0.06,1.08,0.22,0.21,96.09,1.33,0.00
843,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.05,75.33,24.37,0.00
844,0.00,0.52,0.01,0.00,0.00,0.00,0.02,0.18,0.00,0.10,0.00,0.02,0.04,0.20,0.12,1.05,93.92,3.62,0.00
845,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,97.82,1.87,0.00
846,0.01,0.30,0.01,0.01,0.02,0.00,0.01,0.25,0.00,0.04,0.00,0.00,0.00,0.06,0.04,0.03,94.92,3.95,0.00
847,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.86,1.04,0.00
848,0.00,0.27,0.02,0.02,0.04,0.00,0.02,0.25,0.01,0.10,0.00,0.03,0.02,0.02,0.01,0.53,94.46,1.33,0.00
849,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,99.69,0.01,0.00
850,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,74.02,25.56,0.00
851,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.11,98.74,0.96,0.00
852,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.58,78.86,17.77,0.00
853,0.00,0.21,0.00,0.00,0.00,0.00,0.01,0.04,0.00,0.04,0.00,0.00,0.68,0.92,0.28,6.17,91.65,0.00,0.00
854,0.00,0.11,0.02,0.01,0.00,0.01,0.07,0.18,0.00,0.26,0.01,0.00,0.26,0.74,0.09,1.53,95.72,0.62,0.00
855,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,79.92,19.32,0.00
856,0.02,0.20,0.06,0.07,0.03,0.02,0.14,0.20,0.00,0.43,0.01,0.11,2.98,0.27,0.02,5.00,89.94,0.44,0.05
857,0.00,0.05,0.01,0.03,0.00,0.01,0.02,0.02,0.01,0.09,0.00,0.23,0.00,0.00,0.00,0.68,95.96,2.85,0.02
858,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.14,27.82,0.00
859,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,1.83,98.15,0.00,0.00
860,0.00,0.14,0.01,0.00,0.00,0.00,0.01,0.05,0.00,0.13,0.10,0.05,0.03,0.04,0.00,7.39,91.71,0.28,0.05
861,0.33,1.12,2.07,1.30,0.86,2.17,4.54,1.34,1.42,1.03,0.28,0.30,28.95,13.65,1.31,27.22,10.97,0.23,0.00
862,0.02,1.14,0.97,0.25,0.22,0.56,1.95,1.14,0.84,0.74,0.03,0.17,50.93,15.18,2.96,16.10,6.57,0.02,0.00
863,5.03,0.44,0.08,0.04,0.02,0.00,0.12,0.32,0.00,0.02,0.00,0.00,85.72,1.82,0.03,0.71,5.19,0.00,0.00
864,0.06,0.66,1.08,0.24,0.15,0.94,1.88,1.00,0.35,0.83,0.04,0.02,45.78,6.35,1.94,28.89,8.72,0.30,0.00
865,2.60,1.34,1.37,0.50,0.47,1.19,1.92,1.02,0.51,0.28,0.01,2.06,68.27,4.67,0.27,1.60,8.12,0.20,0.00
866,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,3.81,1.11,0.56,78.65,15.74,0.00,0.00
867,0.13,1.26,0.88,0.43,0.35,0.51,1.38,0.78,0.34,0.22,0.10,0.24,70.12,9.23,0.67,9.72,3.44,0.00,0.00
868,2.32,1.16,0.44,0.47,0.07,0.18,0.38,0.73,0.10,0.08,0.32,0.00,70.78,10.75,0.57,3.50,6.40,0.00,0.00
869,6.39,0.41,0.33,0.61,0.12,0.19,0.34,0.55,0.38,0.15,0.01,0.00,54.10,7.69,0.82,1.18,8.58,2.03,0.00
870,0.34,0.79,1.18,0.77,0.26,1.47,2.26,1.34,0.37,0.50,0.00,0.02,84.23,3.78,0.13,1.06,1.29,0.00,0.00
871,0.02,3.33,6.41,2.94,1.18,7.08,7.97,1.59,1.04,0.32,0.00,0.00,59.92,6.16,0.33,0.47,1.14,0.00,0.00
872,9.03,0.39,0.17,0.22,0.07,0.01,0.28,0.39,0.06,0.15,0.01,0.00,47.50,14.49,0.90,6.93,17.69,0.00,0.00
873,0.26,1.45,2.01,0.96,0.45,1.66,3.91,1.89,0.36,0.40,0.00,0.03,57.94,19.32,0.43,4.66,3.95,0.00,0.00
874,0.02,1.71,0.86,0.53,0.13,0.34,1.38,1.13,0.14,0.40,0.01,0.20,59.04,10.90,0.53,17.46,3.99,0.00,0.00
875,0.01,0.75,1.08,0.43,0.17,0.85,2.08,0.94,0.22,0.37,0.01,0.01,67.99,15.85,0.74,3.49,4.73,0.00,0.00
876,0.04,0.63,0.30,0.37,0.00,0.03,0.09,0.31,0.00,0.03,0.00,0.00,91.37,2.75,0.20,1.30,2.33,0.00,0.00
877,0.38,0.41,0.33,0.09,0.05,0.07,0.46,0.27,0.00,0.08,0.00,0.01,71.50,15.65,0.94,2.32,5.33,0.00,0.00
878,0.01,0.58,0.52,0.38,0.20,0.99,0.43,0.43,0.59,0.26,0.05,0.02,20.81,2.83,3.92,44.91,23.01,0.00,0.00
879,0.00,1.00,1.11,0.46,0.17,0.91,1.42,0.67,0.44,0.34,0.01,0.27,52.57,14.32,2.50,10.53,12.90,0.00,0.00
880,0.00,0.47,0.10,0.12,0.00,0.00,0.02,0.38,0.00,0.00,0.04,1.78,40.16,6.53,1.02,25.03,24.18,0.00,0.00
881,0.17,0.57,0.08,0.02,0.05,0.00,0.04,0.16,0.00,0.00,0.00,0.00,56.01,11.16,4.01,20.27,6.18,0.00,0.00
882,0.04,0.06,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.36,0.64,0.40,9.13,88.50,0.72,0.00
883,0.05,0.08,0.01,0.01,0.01,0.01,0.05,0.06,0.10,0.03,0.00,0.00,3.92,0.82,0.31,5.98,88.33,0.16,0.00
884,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.27,0.07,0.04,3.14,96.08,0.35,0.00
885,0.33,0.19,0.01,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.01,4.16,4.81,0.83,2.54,86.37,0.33,0.00
886,4.77,0.27,0.03,0.01,0.01,0.00,0.07,0.09,0.00,0.08,0.01,0.00,2.47,13.05,1.81,0.96,66.87,0.07,0.00
887,0.07,0.08,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.01,0.20,0.33,0.69,9.51,87.12,1.42,0.00
888,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.11,0.23,0.34,3.49,94.15,1.45,0.00
889,0.00,0.25,0.01,0.01,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,15.89,5.03,1.38,37.76,39.48,0.00,0.00
890,0.14,0.28,0.04,0.02,0.01,0.00,0.12,0.19,0.00,0.05,0.09,0.01,33.75,3.31,0.78,16.20,43.33,0.01,0.00
891,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.08,1.68,93.42,4.73,0.00
892,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.18,43.83,55.92,0.00
893,0.32,0.17,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.01,0.40,1.60,2.54,4.90,89.31,0.50,0.00
894,8.30,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.12,0.45,0.23,0.21,72.61,0.00,0.00
895,0.00,0.30,0.07,0.00,0.03,0.00,0.01,0.14,0.55,0.12,0.00,0.02,0.01,0.06,0.01,6.14,90.17,2.31,0.06
896,0.03,0.08,0.00,0.00,0.04,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.02,12.86,86.45,0.43,0.02
897,0.01,0.21,0.03,0.01,0.05,0.00,0.01,0.29,0.00,0.07,0.01,0.03,0.38,0.24,0.00,2.05,96.49,0.03,0.05
898,0.00,0.19,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.02,0.01,0.00,0.00,99.30,0.22,0.17
899,0.00,1.19,1.77,0.17,1.47,0.45,5.15,2.18,4.89,2.59,0.05,0.14,1.03,0.75,0.00,3.80,73.70,0.58,0.00
900,0.01,0.77,0.53,0.20,0.08,0.29,0.73,0.66,0.43,0.68,0.05,0.00,24.22,22.39,0.28,0.02,27.94,0.07,0.05
901,0.38,0.48,0.45,0.06,0.14,0.10,0.75,0.91,0.10,0.98,0.00,0.00,22.24,22.03,0.40,0.52,45.69,0.16,0.06
902,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,99.81,0.00,0.00
903,0.00,0.04,0.00,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.64,98.67,0.56,0.02
904,0.00,0.28,0.04,0.05,0.01,0.01,0.03,0.09,0.03,0.10,0.04,0.02,1.72,0.46,0.02,2.43,94.54,0.08,0.02
905,0.03,0.08,0.02,0.01,0.04,0.01,0.04,0.14,0.22,0.11,0.01,0.17,0.01,0.02,0.00,0.65,96.52,1.46,0.01
906,0.11,0.34,0.30,0.13,0.10,0.25,0.53,0.36,1.11,0.45,0.02,0.36,0.64,0.40,0.01,6.49,88.21,0.04,0.01
907,0.00,0.31,0.00,0.01,0.00,0.00,0.00,0.03,0.00,0.00,0.01,0.01,0.08,0.10,0.00,1.09,98.30,0.01,0.04
908,0.12,1.21,2.34,0.71,0.65,2.40,3.18,1.42,5.19,1.66,0.10,0.02,32.42,4.18,0.02,0.84,43.33,0.00,0.00
909,2.53,0.53,0.44,0.41,0.10,0.10,0.57,0.73,1.40,0.25,0.06,0.08,31.92,5.27,0.06,0.99,54.07,0.00,0.00
910,1.67,1.38,0.48,0.60,0.06,0.10,0.50,0.89,0.01,1.26,0.04,0.05,34.99,5.67,0.11,0.45,50.53,0.04,0.03
911,2.10,0.14,0.03,0.01,0.00,0.00,0.04,0.16,0.00,0.14,0.00,0.01,3.24,1.07,0.01,0.06,89.49,0.09,0.02
912,4.51,0.33,0.03,0.03,0.00,0.00,0.04,0.20,0.00,0.10,0.01,0.00,0.89,0.44,0.01,0.03,85.70,0.83,0.02
913,2.56,0.19,0.04,0.06,0.01,0.04,0.07,0.19,0.01,0.21,0.00,0.01,0.47,0.43,0.02,0.01,86.73,0.29,0.00
914,2.68,0.84,0.36,0.12,0.03,0.10,0.68,1.27,0.62,2.40,0.01,0.08,4.10,5.78,0.40,0.10,75.41,0.13,0.00
915,2.06,0.90,0.50,0.32,0.13,0.10,1.83,1.96,0.13,10.27,0.05,0.07,1.85,4.16,0.25,0.16,67.54,0.48,0.00
916,5.15,0.40,0.19,0.06,0.06,0.01,0.49,1.29,0.01,3.09,0.18,0.05,2.55,0.80,0.05,0.23,76.25,4.02,0.00
917,9.85,1.54,0.77,0.28,0.12,0.25,1.05,1.24,3.72,1.38,0.03,0.05,2.08,2.27,0.02,0.06,71.48,0.24,0.00
918,0.88,3.53,3.43,2.37,1.49,6.12,7.45,1.33,5.75,6.10,0.06,0.05,21.65,19.66,0.23,0.15,18.59,0.14,0.00
919,3.10,1.19,0.50,0.34,0.45,0.17,0.96,0.94,0.60,1.43,0.04,0.04,14.05,20.70,0.20,0.34,34.34,0.51,0.00
920,2.35,1.45,1.14,0.43,0.62,0.87,2.64,1.07,1.21,2.68,0.04,0.20,20.71,29.91,0.37,0.12,29.54,0.00,0.00
921,6.15,0.47,0.19,0.10,0.07,0.14,0.38,0.52,0.01,1.20,0.02,0.02,7.22,23.55,0.95,1.01,51.52,0.00,0.03
922,3.28,0.51,0.18,0.25,0.05,0.08,0.35,0.46,0.01,1.02,0.02,0.09,7.88,20.50,0.81,0.64,61.91,0.00,0.00
923,1.42,1.40,0.77,0.25,0.34,0.65,1.11,0.97,1.13,2.82,0.03,0.05,15.32,28.79,0.66,0.53,42.38,0.00,0.00
924,2.38,3.14,3.57,1.42,1.66,3.24,16.67,2.03,8.02,13.59,0.14,0.45,4.48,3.09,0.03,0.45,30.09,1.14,0.00
925,11.33,2.05,1.60,0.69,0.60,0.87,5.95,1.76,6.70,6.41,0.14,0.70,6.78,1.88,0.02,0.02,49.93,1.46,0.00
926,24.97,4.15,4.58,0.72,3.43,9.41,11.20,1.70,6.21,5.58,0.82,0.11,1.68,1.19,0.00,0.02,18.24,1.12,0.00
927,5.15,3.22,4.47,2.28,1.72,4.47,10.46,1.98,8.87,3.24,0.03,0.09,25.42,13.76,0.15,0.12,13.69,0.09,0.00
928,0.07,4.26,5.18,1.09,2.41,5.46,11.41,1.57,7.46,3.40,0.02,0.01,4.72,0.84,0.07,0.00,51.03,0.00,0.00
929,0.13,2.70,4.78,3.29,1.47,4.26,7.51,2.59,3.54,2.82,0.07,0.14,36.09,6.93,1.80,2.52,17.67,1.05,0.00
930,0.00,1.09,2.04,0.87,1.76,2.37,8.71,1.64,11.78,2.97,0.11,0.05,0.92,0.90,0.17,2.56,61.39,0.07,0.00
931,0.03,7.19,18.81,10.49,5.69,38.46,8.37,1.37,4.96,0.35,0.06,0.04,1.54,1.01,0.01,0.14,1.02,0.00,0.00
932,0.22,5.14,10.33,6.59,5.31,12.83,14.43,2.93,17.94,1.07,0.41,0.04,2.57,1.19,0.03,1.10,16.67,0.00,0.05
933,0.05,1.32,3.60,1.75,1.69,2.50,11.79,2.06,12.60,4.30,0.01,0.02,4.28,1.60,0.21,3.42,48.17,0.00,0.01
934,0.02,0.44,0.23,0.01,0.26,0.00,0.99,1.80,0.54,1.86,0.02,0.02,2.78,0.56,0.39,0.26,87.51,1.76,0.05
935,0.05,0.84,0.01,0.01,0.07,0.00,0.00,0.65,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,97.42,0.36,0.15
936,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.09,0.14,0.00,15.17,83.20,0.00,0.00
937,0.00,0.02,0.05,0.89,0.03,0.06,0.07,0.46,0.17,0.28,0.12,0.13,0.00,0.27,0.00,2.49,93.60,0.00,0.00
938,0.40,3.63,8.13,3.47,1.99,5.60,14.92,3.82,9.46,2.74,0.06,0.09,13.16,6.97,0.79,4.74,19.19,0.00,0.00
939,0.01,0.34,0.56,0.15,0.44,0.02,2.83,2.95,4.61,3.46,0.09,0.03,2.33,0.84,0.97,11.17,68.14,0.01,0.00
940,0.02,0.13,0.05,0.08,0.04,0.00,0.24,0.94,0.40,0.40,0.00,0.01,3.07,0.15,0.03,1.08,92.90,0.40,0.00
941,0.00,0.09,0.00,0.01,0.01,0.00,0.00,0.06,0.00,0.02,0.07,0.00,0.01,0.00,0.00,0.00,79.94,19.72,0.00
942,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.55,31.44,0.00
943,0.01,0.27,0.05,0.10,0.00,0.00,0.21,0.66,0.01,0.72,0.00,0.19,0.11,0.27,0.31,2.39,84.82,9.66,0.00
944,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,39.37,60.59,0.00
945,0.03,0.23,0.05,0.02,0.06,0.00,0.15,0.48,0.81,0.21,0.01,0.01,0.13,0.29,0.09,0.56,91.66,4.73,0.00
946,0.01,0.19,0.28,0.01,0.06,0.06,1.97,0.52,0.02,2.27,0.00,0.00,0.01,0.01,0.01,0.08,79.92,14.03,0.00
947,0.00,0.37,0.04,0.02,0.04,0.01,0.12,0.29,0.01,0.16,0.00,0.03,0.15,0.33,0.39,6.06,91.58,0.35,0.00
948,0.03,0.11,0.04,0.01,0.00,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.12,0.58,0.16,0.38,97.47,0.51,0.00
949,0.06,0.03,0.06,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.17,0.46,0.04,0.19,87.84,10.77,0.00
950,0.01,0.38,0.11,0.07,0.03,0.04,0.45,0.56,0.00,0.41,0.00,0.02,6.28,1.10,0.32,3.05,85.36,0.25,0.00
951,0.04,0.20,0.13,0.05,0.06,0.04,0.32,0.36,0.00,0.50,0.02,0.01,0.31,0.07,0.12,0.35,95.97,1.37,0.00
952,0.46,0.07,0.01,0.00,0.00,0.00,0.01,0.03,0.00,0.02,0.00,0.00,0.06,0.12,0.05,1.17,96.40,1.52,0.00
953,13.47,0.34,0.05,0.01,0.02,0.00,0.04,1.31,0.00,0.15,0.00,0.00,0.25,1.88,1.31,1.03,75.42,2.09,0.00
954,2.11,0.62,0.21,0.10,0.04,0.07,0.48,0.38,0.00,0.26,0.06,0.01,28.94,18.34,2.74,9.94,18.04,0.39,0.00
955,0.54,0.07,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.00,0.05,0.07,0.33,2.84,95.71,0.00,0.00
956,1.35,0.19,0.00,0.00,0.00,0.00,0.01,0.10,0.00,0.01,0.00,0.01,0.80,0.13,0.02,0.46,95.94,0.31,0.00
957,0.55,0.10,0.01,0.00,0.00,0.01,0.01,0.05,0.00,0.02,0.00,0.01,1.47,0.52,0.23,16.19,78.59,0.07,0.00
958,0.00,1.06,0.28,0.05,0.12,0.09,0.41,0.75,0.00,0.73,0.01,0.00,21.26,9.06,1.46,25.38,36.13,2.54,0.00
959,0.49,0.61,0.10,0.00,0.00,0.00,0.14,0.35,0.00,0.13,0.00,0.00,16.08,19.59,8.74,21.65,30.35,0.00,0.00
960,0.02,0.06,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.07,0.22,1.71,86.42,11.41,0.00
961,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,33.50,66.20,0.00
962,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.17,0.12,73.10,26.25,0.00,0.00
963,0.02,0.15,0.01,0.00,0.00,0.00,0.01,0.05,0.00,0.06,0.00,0.00,0.27,0.94,0.19,4.35,90.32,0.02,0.00
964,0.02,0.15,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.04,1.70,97.97,0.00,0.00
965,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.01,0.14,0.27,0.89,13.97,84.41,0.00,0.00
966,0.06,0.04,0.00,0.00,0.01,0.00,0.00,0.02,0.00,0.01,0.00,0.01,1.28,1.52,0.03,13.85,78.52,4.23,0.00
967,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.30,1.30,0.84,11.17,78.42,6.77,0.00
