uniqid_county,NLCD06_11_county,NLCD06_12_county,NLCD06_21_county,NLCD06_22_county,NLCD06_23_county,NLCD06_24_county,NLCD06_31_county,NLCD06_41_county,NLCD06_42_county,NLCD06_43_county,NLCD06_52_county,NLCD06_71_county,NLCD06_81_county,NLCD06_82_county,NLCD06_90_county,NLCD06_95_county,NLCD06_9999_county
724,0.37,0.00,4.48,0.30,0.17,0.11,0.02,52.36,1.00,0.58,0.26,3.03,33.46,3.83,0.02,0.00,0.00
725,1.80,0.00,2.84,0.19,0.04,0.01,0.02,56.58,8.46,1.70,0.07,3.71,21.13,2.87,0.53,0.05,0.00
726,8.26,0.00,2.87,0.31,0.12,0.07,0.46,39.05,4.72,0.00,0.14,2.58,14.94,21.50,3.52,1.46,0.00
727,5.08,0.00,4.42,2.13,0.42,0.07,0.23,60.66,0.54,3.10,0.56,3.44,13.89,5.44,0.00,0.01,0.00
728,0.09,0.00,4.67,0.28,0.08,0.03,0.01,53.20,1.40,0.62,0.15,3.14,32.82,3.51,0.00,0.00,0.00
729,1.06,0.00,4.95,0.68,0.16,0.06,0.07,37.25,1.37,0.23,0.09,2.09,49.48,2.49,0.01,0.01,0.00
730,11.17,0.00,4.78,0.60,0.18,0.10,0.23,7.85,0.10,0.00,0.55,0.28,2.41,55.20,15.55,1.01,0.00
731,0.12,0.00,4.46,2.09,0.15,0.02,0.25,67.05,0.35,3.52,0.36,9.38,12.20,0.05,0.01,0.00,0.00
732,1.08,0.00,3.82,0.47,0.16,0.06,0.15,54.82,0.84,0.03,0.84,4.47,12.84,18.17,1.56,0.69,0.00
733,8.02,0.00,3.63,0.28,0.09,0.06,0.01,18.24,0.64,0.00,0.10,0.19,9.38,47.50,9.18,2.68,0.00
734,0.30,0.00,5.82,0.56,0.27,0.08,0.01,27.54,1.83,0.37,0.05,1.55,26.88,34.57,0.14,0.05,0.00
735,0.64,0.00,6.61,3.24,1.35,0.40,0.03,34.11,2.21,0.69,0.30,2.44,46.44,1.52,0.01,0.02,0.00
736,0.30,0.00,4.72,0.40,0.13,0.04,0.00,39.48,1.60,0.32,0.10,1.37,33.48,17.93,0.10,0.04,0.00
737,16.19,0.00,2.44,0.54,0.15,0.05,0.03,54.41,3.50,0.00,0.09,1.35,9.38,10.17,1.53,0.19,0.00
738,0.45,0.00,4.23,0.96,0.42,0.19,0.05,44.26,2.78,0.60,0.08,2.45,33.05,9.72,0.66,0.11,0.00
739,1.50,0.00,3.98,0.45,0.21,0.06,0.06,52.66,3.38,0.44,0.20,4.52,27.19,5.21,0.10,0.04,0.00
740,0.43,0.00,5.15,1.81,0.90,0.37,0.26,43.64,3.20,0.39,0.09,2.48,26.27,13.39,1.58,0.06,0.00
741,1.49,0.00,2.71,0.39,0.09,0.03,0.01,76.69,1.47,0.63,0.13,2.50,11.06,2.77,0.03,0.00,0.00
742,6.54,0.00,9.33,3.47,1.42,0.83,0.08,25.34,1.91,0.00,0.04,0.27,5.66,36.05,6.77,2.31,0.00
743,0.23,0.00,3.94,0.58,0.21,0.11,0.05,39.52,3.13,1.94,0.07,4.49,39.94,5.74,0.01,0.04,0.00
744,1.74,0.00,5.30,0.44,0.19,0.08,0.08,46.37,1.10,0.20,0.04,4.24,37.63,2.49,0.03,0.06,0.00
745,0.28,0.00,5.06,0.35,0.17,0.03,0.00,29.06,0.96,0.26,0.03,1.30,19.76,42.65,0.08,0.01,0.00
746,0.34,0.00,4.84,0.70,0.23,0.11,0.05,30.46,1.11,0.00,0.11,0.97,20.31,39.30,1.42,0.07,0.00
747,4.70,0.00,4.20,0.23,0.06,0.02,0.00,25.45,0.58,0.00,0.15,0.37,8.84,48.42,5.16,1.81,0.00
748,5.46,0.00,3.21,0.48,0.27,0.26,0.06,55.26,0.41,0.03,0.72,3.97,11.23,17.60,0.66,0.38,0.00
749,5.34,0.00,3.89,0.53,0.18,0.08,0.07,15.72,0.63,0.00,0.01,0.34,8.96,60.76,2.80,0.70,0.00
750,0.69,0.00,4.28,2.61,0.44,0.10,0.11,62.70,0.95,3.52,0.21,5.81,17.92,0.59,0.05,0.00,0.00
751,0.84,0.00,4.70,0.87,0.42,0.21,0.15,27.09,4.25,1.31,0.08,3.51,51.51,5.05,0.01,0.01,0.00
752,3.63,0.00,4.36,0.32,0.08,0.03,0.04,13.87,0.39,0.00,0.11,0.13,7.19,55.45,14.18,0.22,0.00
753,0.44,0.00,4.84,2.41,0.96,0.23,4.95,67.00,0.41,3.06,0.12,14.69,0.83,0.06,0.00,0.00,0.00
754,1.93,0.00,4.13,0.78,0.37,0.13,0.44,48.59,4.20,0.14,0.17,6.79,13.84,13.90,2.17,2.41,0.00
755,1.66,0.00,4.83,2.28,0.72,0.28,0.88,45.49,1.00,4.37,0.26,4.43,31.94,1.86,0.00,0.01,0.00
756,1.24,0.00,5.29,3.00,0.82,0.21,0.36,57.75,1.62,8.33,0.45,9.49,11.22,0.20,0.00,0.01,0.00
757,2.55,0.00,2.96,0.15,0.05,0.03,0.01,48.40,3.62,0.01,0.09,3.09,20.22,16.15,2.10,0.58,0.00
758,0.28,0.00,4.01,1.47,0.46,0.08,3.30,73.88,0.12,1.83,0.03,14.01,0.52,0.00,0.00,0.00,0.00
759,1.66,0.00,4.52,0.40,0.12,0.05,0.05,53.62,1.07,0.42,0.23,3.56,29.49,4.79,0.00,0.01,0.00
760,0.84,0.00,3.28,0.26,0.10,0.03,0.03,59.48,1.20,0.26,0.11,5.96,15.36,11.55,0.96,0.57,0.00
761,0.06,0.00,3.05,0.17,0.07,0.04,0.03,64.53,0.19,0.07,0.26,4.35,24.06,3.12,0.00,0.01,0.00
762,0.32,0.00,4.31,0.84,0.19,0.02,1.68,83.07,0.09,2.20,0.53,6.49,0.21,0.05,0.00,0.00,0.00
763,1.84,0.00,6.41,0.83,0.37,0.11,0.17,28.20,1.26,0.34,0.03,1.08,52.16,7.15,0.02,0.04,0.00
764,0.15,0.00,3.54,1.25,0.29,0.04,1.07,77.66,0.52,3.72,0.09,9.28,2.35,0.03,0.02,0.00,0.00
765,10.18,0.00,4.48,0.55,0.23,0.14,0.09,47.58,0.76,0.39,0.17,1.93,27.76,5.73,0.02,0.00,0.00
766,0.21,0.00,5.03,1.76,0.43,0.07,0.16,62.74,0.52,1.98,0.42,4.90,21.61,0.17,0.00,0.00,0.00
767,0.41,0.00,4.88,1.33,0.58,0.31,0.03,39.51,3.33,0.05,0.08,3.06,15.76,30.56,0.03,0.08,0.00
768,2.32,0.00,3.73,0.20,0.06,0.01,0.06,54.64,1.43,0.20,0.19,4.44,24.85,7.70,0.14,0.04,0.00
769,7.75,0.00,2.55,0.26,0.08,0.04,0.05,57.64,3.37,0.02,0.04,1.96,10.86,14.21,1.04,0.13,0.00
770,0.57,0.00,6.11,1.61,0.81,0.49,0.08,33.32,0.20,0.08,0.03,2.15,48.57,5.97,0.00,0.00,0.00
771,0.78,0.00,4.30,0.35,0.13,0.04,0.03,47.77,6.70,1.30,0.25,4.27,32.08,1.83,0.15,0.02,0.00
772,0.26,0.00,4.04,1.62,0.15,0.01,0.14,75.02,0.58,3.20,0.21,7.15,7.55,0.05,0.01,0.00,0.00
773,0.12,0.00,6.95,1.25,0.33,0.15,0.03,10.69,0.60,0.02,0.03,0.14,26.65,53.04,0.00,0.00,0.00
774,0.47,0.00,5.05,1.07,0.29,0.08,0.39,61.45,1.80,21.75,0.45,5.38,1.77,0.03,0.00,0.03,0.00
775,0.20,0.00,3.75,0.56,0.21,0.12,0.04,45.16,0.92,0.44,0.10,1.77,36.23,10.48,0.02,0.01,0.00
776,0.93,0.00,5.12,0.39,0.11,0.05,0.01,23.25,1.04,0.00,0.21,0.43,6.21,59.61,2.07,0.57,0.00
777,3.35,0.00,6.40,2.27,0.93,0.41,0.03,22.47,0.95,0.00,0.06,0.81,11.64,49.19,1.09,0.41,0.00
778,0.49,0.00,3.88,0.42,0.13,0.11,0.05,44.04,4.98,0.06,0.14,2.68,16.08,25.30,1.27,0.37,0.00
779,6.11,0.00,3.13,0.37,0.07,0.02,0.25,0.39,0.15,1.43,0.21,0.04,0.55,71.88,14.65,0.75,0.00
780,5.81,0.00,3.22,2.01,0.18,0.04,0.06,4.32,24.01,4.47,15.54,0.90,15.65,8.24,14.24,1.31,0.00
