uniqid_huc10,coa_wheat_bushels_1969_huc10,coa_wheat_bushels_1974_huc10,coa_wheat_bushels_1978_huc10,coa_wheat_bushels_1982_huc10,coa_wheat_bushels_1987_huc10,coa_wheat_bushels_1992_huc10,coa_wheat_bushels_1997_huc10,coa_wheat_bushels_2002_huc10,coa_wheat_bushels_2007_huc10,coa_wheat_bushels_2012_huc10
7039,1.3,0.6,4.5,3.7,1.8,0.3,0.0,0.0,0.3,1.2
7040,12.4,107.9,280.7,339.0,182.3,199.6,293.2,89.8,134.5,239.6
7041,41.8,63.3,34.3,61.1,68.4,2.6,36.9,15.1,15.9,14.7
7042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7044,0.6,0.8,0.9,1.1,1.1,9.6,14.6,0.2,0.3,0.5
7045,1.8,0.8,0.3,2.7,1.0,0.0,0.0,0.0,0.0,0.0
7046,3.8,3.8,8.3,8.9,8.3,2.3,4.1,3.7,2.3,3.2
7047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7049,9.4,6.3,2.5,1.3,0.6,0.7,0.9,0.8,0.8,0.6
7050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7051,0.2,0.6,0.8,2.3,0.6,0.7,0.7,0.4,0.4,1.0
7052,401.9,397.5,471.9,475.9,487.4,348.2,404.6,321.2,280.8,271.7
7053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7054,1.5,1.5,3.2,3.4,3.2,0.9,1.6,1.4,0.9,1.6
7055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
7056,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7058,557.2,1147.4,1613.5,2094.1,1526.6,1977.9,2394.7,826.8,938.6,1190.8
7059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7060,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7061,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
7062,193.2,661.7,986.0,635.9,1044.1,1246.3,467.8,464.3,486.0,175.4
7063,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.1
7064,9.0,22.9,28.3,82.9,23.1,23.5,25.8,13.2,13.3,14.7
7065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7066,2.2,1.9,2.6,2.9,3.8,17.7,24.1,1.9,2.2,1.9
7067,8.0,59.6,150.0,235.2,127.2,132.9,195.9,62.2,91.5,142.7
7068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7070,0.4,0.4,0.4,0.4,0.2,0.8,0.0,0.0,0.0,0.0
7071,58.4,103.4,111.3,141.1,141.7,175.9,98.3,97.7,97.7,38.2
7072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
