uniqid_eco4,imperv_nwalt1974_eco4,imperv_nwalt1982_eco4,imperv_nwalt1992_eco4,imperv_nwalt2002_eco4,imperv_nwalt2012_eco4,imperv_nlcd2001_eco4,imperv_nlcd2006_eco4,imperv_nlcd2011_eco4
1,0.88,0.92,0.94,0.97,1.03,0.87,0.91,0.95
2,0.40,0.41,0.42,0.42,0.43,0.25,0.26,0.27
3,0.38,0.39,0.39,0.40,0.40,0.24,0.25,0.25
4,0.54,0.54,0.55,0.56,0.56,0.26,0.26,0.27
5,1.60,1.72,1.78,1.89,2.03,2.01,2.14,2.21
6,0.73,0.78,0.79,0.82,0.84,0.74,0.75,0.76
7,0.74,0.75,0.76,0.77,0.78,0.42,0.44,0.44
8,0.57,0.59,0.61,0.62,0.65,0.56,0.59,0.63
9,0.46,0.47,0.48,0.49,0.49,0.44,0.44,0.44
10,0.46,0.46,0.47,0.48,0.49,0.28,0.28,0.28
11,0.25,0.25,0.25,0.25,0.25,0.06,0.06,0.06
12,0.72,0.74,0.76,0.78,0.80,0.85,0.87,0.89
13,0.66,0.66,0.69,0.71,0.72,1.12,1.14,1.16
14,0.23,0.23,0.23,0.24,0.24,0.12,0.12,0.12
15,0.25,0.26,0.26,0.26,0.26,0.15,0.15,0.15
16,0.23,0.23,0.23,0.23,0.23,0.12,0.12,0.12
17,0.28,0.28,0.28,0.28,0.28,0.25,0.25,0.25
18,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15
19,0.24,0.25,0.25,0.25,0.25,0.22,0.22,0.22
20,0.24,0.24,0.24,0.24,0.24,0.29,0.29,0.29
21,0.26,0.26,0.27,0.27,0.27,0.17,0.17,0.17
22,0.24,0.24,0.24,0.25,0.25,0.22,0.22,0.22
23,0.23,0.23,0.23,0.23,0.23,0.11,0.11,0.11
24,0.77,0.79,0.80,0.81,0.82,0.81,0.82,0.84
25,0.22,0.22,0.22,0.22,0.22,0.28,0.28,0.28
26,0.10,0.10,0.10,0.10,0.10,0.03,0.03,0.03
27,0.86,0.91,0.94,1.06,1.18,1.52,1.60,1.65
28,0.32,0.32,0.32,0.33,0.33,0.12,0.12,0.12
29,2.11,2.30,2.41,2.77,3.06,2.53,2.96,3.17
30,0.19,0.19,0.19,0.20,0.20,0.09,0.09,0.09
31,0.47,0.50,0.53,0.55,0.57,0.78,0.81,0.81
32,0.34,0.35,0.36,0.36,0.37,0.28,0.28,0.30
33,1.69,1.78,1.83,1.97,2.12,2.05,2.22,2.39
34,0.25,0.25,0.26,0.26,0.26,0.17,0.17,0.17
35,0.29,0.30,0.31,0.32,0.33,0.24,0.24,0.25
36,0.43,0.46,0.47,0.50,0.52,0.54,0.56,0.57
37,1.18,1.26,1.29,1.35,1.44,1.46,1.55,1.60
38,0.21,0.22,0.22,0.23,0.24,0.27,0.28,0.28
39,0.25,0.26,0.27,0.28,0.30,0.16,0.18,0.19
40,1.93,2.22,2.45,2.81,3.16,3.09,3.39,3.48
41,0.50,0.51,0.52,0.54,0.55,0.56,0.56,0.56
42,0.64,0.67,0.69,0.70,0.71,0.68,0.68,0.69
43,0.26,0.26,0.27,0.27,0.27,0.42,0.42,0.42
44,0.32,0.33,0.33,0.33,0.34,0.18,0.18,0.18
45,0.33,0.34,0.36,0.37,0.40,0.49,0.52,0.53
46,0.48,0.51,0.53,0.58,0.64,0.70,0.75,0.77
47,0.27,0.27,0.27,0.27,0.28,0.20,0.20,0.20
48,0.22,0.22,0.22,0.22,0.22,0.04,0.04,0.04
49,15.28,17.04,18.78,21.40,24.44,21.40,23.73,25.12
50,0.22,0.23,0.23,0.24,0.26,0.28,0.29,0.31
51,0.24,0.24,0.24,0.24,0.24,0.22,0.22,0.22
52,1.52,1.64,1.73,1.91,2.15,1.74,1.93,2.14
53,0.38,0.39,0.40,0.43,0.45,0.48,0.51,0.52
54,0.22,0.22,0.22,0.22,0.22,0.13,0.13,0.13
55,0.22,0.22,0.22,0.22,0.22,0.03,0.03,0.03
56,0.25,0.25,0.26,0.27,0.28,0.26,0.26,0.27
57,0.18,0.18,0.18,0.18,0.18,0.12,0.12,0.12
58,0.16,0.16,0.16,0.16,0.16,0.00,0.00,0.00
59,0.26,0.27,0.27,0.27,0.27,0.34,0.34,0.35
60,0.23,0.23,0.23,0.23,0.23,0.10,0.10,0.10
61,0.23,0.23,0.23,0.24,0.24,0.16,0.16,0.16
62,0.22,0.22,0.22,0.22,0.22,0.04,0.04,0.04
63,0.22,0.22,0.22,0.22,0.22,0.01,0.01,0.01
64,0.27,0.28,0.28,0.28,0.28,0.31,0.31,0.31
65,0.24,0.24,0.24,0.24,0.24,0.09,0.09,0.09
66,0.24,0.24,0.24,0.24,0.24,0.07,0.07,0.07
67,0.29,0.29,0.29,0.30,0.30,0.14,0.14,0.14
68,0.20,0.20,0.20,0.20,0.20,0.03,0.03,0.03
69,0.29,0.29,0.30,0.31,0.32,0.40,0.41,0.41
70,0.92,1.08,1.29,1.59,1.83,1.50,1.75,1.81
71,0.27,0.27,0.27,0.27,0.27,0.12,0.12,0.12
72,0.22,0.23,0.23,0.23,0.23,0.12,0.12,0.12
73,0.20,0.20,0.20,0.20,0.20,0.12,0.12,0.12
74,0.50,0.56,0.67,0.85,0.92,0.87,0.93,0.98
75,0.35,0.35,0.40,0.41,0.41,0.26,0.27,0.27
76,0.33,0.38,0.43,0.53,0.60,0.84,0.86,0.88
77,0.31,0.31,0.31,0.32,0.32,0.20,0.20,0.20
78,0.24,0.25,0.25,0.25,0.25,0.30,0.30,0.30
79,1.22,1.32,1.53,1.63,1.82,1.46,1.55,1.66
80,0.30,0.30,0.30,0.31,0.31,0.15,0.15,0.15
81,0.23,0.23,0.23,0.23,0.23,0.07,0.07,0.07
82,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00
83,0.32,0.32,0.32,0.32,0.32,0.15,0.15,0.16
84,0.28,0.28,0.28,0.28,0.28,0.04,0.04,0.04
85,0.11,0.11,0.11,0.11,0.11,0.01,0.01,0.01
86,0.34,0.34,0.35,0.35,0.35,0.35,0.35,0.35
87,0.50,0.53,0.54,0.56,0.56,1.05,1.05,1.05
88,1.12,1.19,1.23,1.32,1.42,1.61,1.70,1.76
89,0.89,0.90,0.92,0.94,1.00,1.30,1.32,1.40
90,0.28,0.28,0.29,0.29,0.29,0.33,0.33,0.33
91,0.46,0.49,0.50,0.50,0.50,0.37,0.38,0.38
92,0.27,0.27,0.27,0.27,0.27,0.44,0.44,0.44
93,0.20,0.20,0.20,0.20,0.20,0.03,0.03,0.03
94,0.25,0.25,0.25,0.25,0.25,0.10,0.10,0.10
95,0.49,0.52,0.52,0.53,0.54,0.51,0.51,0.52
96,0.29,0.29,0.29,0.30,0.30,0.22,0.22,0.22
97,0.31,0.32,0.32,0.32,0.33,0.38,0.38,0.38
98,0.66,0.67,0.69,0.71,0.72,1.20,1.21,1.22
99,0.28,0.28,0.29,0.29,0.29,0.33,0.33,0.33
100,0.43,0.44,0.44,0.44,0.44,0.36,0.36,0.36
101,0.25,0.25,0.25,0.25,0.25,0.14,0.14,0.14
102,0.28,0.28,0.28,0.28,0.28,0.15,0.15,0.16
103,0.55,0.56,0.56,0.57,0.57,0.62,0.63,0.63
104,6.07,6.56,6.88,7.40,8.22,7.86,8.34,8.76
105,0.54,0.57,0.59,0.61,0.64,0.75,0.77,0.78
106,0.57,0.59,0.62,0.64,0.66,0.73,0.74,0.75
107,0.52,0.54,0.56,0.58,0.63,0.55,0.56,0.57
108,0.49,0.50,0.50,0.50,0.50,0.32,0.32,0.32
109,0.26,0.26,0.26,0.27,0.27,0.18,0.18,0.18
110,0.39,0.39,0.39,0.39,0.39,0.14,0.14,0.14
111,0.23,0.23,0.23,0.24,0.24,0.12,0.12,0.12
112,0.14,0.14,0.14,0.14,0.14,0.04,0.04,0.04
113,0.18,0.19,0.19,0.19,0.19,0.06,0.06,0.06
114,0.26,0.27,0.27,0.28,0.28,0.19,0.19,0.19
115,0.08,0.08,0.08,0.08,0.09,0.03,0.03,0.03
116,0.17,0.18,0.18,0.19,0.19,0.18,0.18,0.18
117,0.43,0.45,0.48,0.50,0.51,0.51,0.52,0.53
118,0.15,0.15,0.15,0.15,0.15,0.00,0.00,0.00
119,0.23,0.23,0.23,0.23,0.23,0.07,0.07,0.07
120,0.23,0.23,0.23,0.23,0.23,0.09,0.09,0.09
121,0.21,0.21,0.21,0.21,0.21,0.08,0.08,0.08
122,0.53,0.56,0.59,0.61,0.64,0.58,0.61,0.63
123,0.58,0.59,0.62,0.63,0.64,1.19,1.20,1.20
124,0.27,0.27,0.27,0.27,0.27,0.23,0.23,0.23
125,0.30,0.30,0.31,0.31,0.32,0.18,0.18,0.18
126,0.24,0.24,0.24,0.24,0.24,0.06,0.06,0.06
127,0.24,0.24,0.24,0.24,0.24,0.04,0.04,0.04
128,0.22,0.22,0.22,0.22,0.22,0.09,0.09,0.09
129,0.24,0.24,0.24,0.24,0.24,0.04,0.04,0.04
130,0.27,0.27,0.27,0.28,0.28,0.10,0.10,0.10
131,0.31,0.31,0.31,0.31,0.31,0.13,0.13,0.13
132,0.33,0.34,0.35,0.35,0.36,0.31,0.31,0.31
133,0.65,0.66,0.67,0.68,0.69,0.89,0.90,0.90
134,0.25,0.25,0.25,0.25,0.25,0.09,0.09,0.09
135,0.25,0.25,0.25,0.25,0.25,0.10,0.10,0.10
136,0.07,0.07,0.07,0.07,0.07,0.00,0.00,0.00
137,0.16,0.16,0.16,0.16,0.16,0.02,0.02,0.02
138,0.31,0.33,0.33,0.34,0.35,0.33,0.33,0.34
139,0.31,0.32,0.32,0.33,0.34,0.27,0.27,0.28
140,0.24,0.24,0.24,0.24,0.24,0.02,0.02,0.02
141,0.24,0.24,0.24,0.24,0.24,0.04,0.04,0.04
142,0.24,0.24,0.24,0.24,0.24,0.04,0.04,0.04
143,0.18,0.18,0.18,0.18,0.19,0.05,0.05,0.05
144,0.15,0.15,0.15,0.15,0.15,0.01,0.01,0.01
145,0.17,0.17,0.17,0.17,0.17,0.04,0.04,0.04
146,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08
147,0.19,0.19,0.19,0.19,0.19,0.04,0.04,0.04
148,0.24,0.24,0.24,0.24,0.24,0.03,0.03,0.03
149,0.23,0.23,0.24,0.24,0.24,0.11,0.11,0.11
150,0.31,0.32,0.34,0.37,0.38,0.39,0.40,0.41
151,0.25,0.25,0.25,0.25,0.25,0.05,0.05,0.05
152,0.41,0.42,0.43,0.44,0.44,0.34,0.34,0.34
153,0.27,0.27,0.27,0.27,0.27,0.23,0.23,0.23
154,0.26,0.26,0.27,0.27,0.27,0.15,0.15,0.15
155,2.09,2.25,2.36,2.58,2.74,3.07,3.19,3.25
156,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25
157,0.33,0.34,0.36,0.37,0.37,0.42,0.42,0.42
158,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15
159,0.85,0.95,1.04,1.14,1.24,1.48,1.53,1.59
160,0.25,0.26,0.26,0.27,0.27,0.12,0.12,0.12
161,0.25,0.25,0.25,0.25,0.25,0.19,0.19,0.19
162,0.24,0.24,0.24,0.24,0.24,0.02,0.02,0.02
163,0.32,0.32,0.33,0.33,0.34,0.34,0.34,0.35
164,0.32,0.32,0.33,0.34,0.34,0.30,0.30,0.30
165,0.50,0.52,0.53,0.55,0.56,0.51,0.52,0.52
166,0.29,0.29,0.30,0.30,0.30,0.25,0.25,0.25
167,0.33,0.34,0.34,0.35,0.36,0.39,0.40,0.41
168,0.34,0.34,0.35,0.37,0.39,0.38,0.40,0.42
169,0.34,0.34,0.35,0.35,0.36,0.58,0.59,0.59
170,0.20,0.20,0.20,0.20,0.20,0.00,0.00,0.00
171,0.20,0.20,0.20,0.20,0.20,0.02,0.02,0.02
172,0.24,0.24,0.24,0.25,0.25,0.12,0.12,0.12
173,0.21,0.21,0.21,0.22,0.22,0.04,0.05,0.05
174,0.25,0.25,0.26,0.26,0.26,0.16,0.16,0.16
175,0.30,0.31,0.32,0.33,0.36,0.21,0.23,0.24
176,0.66,0.71,0.75,0.81,0.90,1.03,1.10,1.15
177,3.28,3.46,3.54,3.66,3.75,4.25,4.42,4.48
178,0.76,0.79,0.80,0.82,0.83,0.94,0.95,0.96
179,0.21,0.21,0.21,0.21,0.22,0.17,0.17,0.17
180,0.54,0.55,0.55,0.56,0.56,0.55,0.56,0.56
181,0.70,0.72,0.73,0.73,0.74,0.58,0.58,0.58
182,0.90,0.93,0.94,0.95,0.97,0.83,0.84,0.84
183,0.34,0.35,0.35,0.35,0.35,0.31,0.31,0.31
184,0.34,0.34,0.34,0.35,0.35,0.28,0.29,0.29
185,0.19,0.20,0.20,0.21,0.21,0.15,0.15,0.16
186,0.16,0.16,0.17,0.17,0.17,0.14,0.16,0.16
187,0.30,0.30,0.31,0.32,0.32,0.14,0.14,0.14
188,1.47,1.61,1.68,1.74,1.80,2.01,2.41,2.43
189,0.81,0.82,0.84,0.84,0.85,0.59,0.60,0.61
190,1.54,1.69,1.77,1.83,1.88,0.97,1.05,1.07
191,2.54,2.85,3.00,3.11,3.24,2.55,2.60,2.63
192,0.46,0.48,0.50,0.53,0.55,0.53,0.54,0.54
193,0.70,0.74,0.78,0.84,0.89,0.95,0.99,1.02
194,0.26,0.27,0.27,0.27,0.28,0.20,0.20,0.20
195,0.26,0.27,0.27,0.28,0.28,0.14,0.14,0.14
196,0.22,0.22,0.22,0.22,0.23,0.07,0.07,0.07
197,0.42,0.44,0.45,0.47,0.50,0.60,0.62,0.66
198,0.31,0.31,0.32,0.33,0.33,0.30,0.30,0.30
199,0.28,0.29,0.30,0.32,0.32,0.16,0.16,0.16
200,0.22,0.23,0.23,0.23,0.23,0.12,0.12,0.12
201,0.21,0.22,0.22,0.22,0.22,0.02,0.02,0.02
202,0.25,0.25,0.26,0.26,0.26,0.12,0.13,0.13
203,0.32,0.34,0.35,0.37,0.37,0.31,0.32,0.32
204,0.36,0.38,0.40,0.43,0.45,0.40,0.41,0.43
205,0.28,0.29,0.30,0.31,0.31,0.18,0.19,0.19
206,0.27,0.27,0.28,0.29,0.29,0.19,0.19,0.19
207,0.24,0.24,0.24,0.24,0.24,0.08,0.08,0.08
208,0.27,0.27,0.27,0.28,0.28,0.21,0.21,0.21
209,0.40,0.41,0.42,0.43,0.44,0.42,0.43,0.44
210,0.37,0.39,0.41,0.41,0.42,0.49,0.49,0.50
211,0.31,0.32,0.32,0.32,0.32,0.58,0.58,0.58
212,0.20,0.20,0.20,0.20,0.20,0.13,0.13,0.13
213,0.63,0.65,0.67,0.69,0.70,1.23,1.24,1.28
214,0.35,0.36,0.37,0.38,0.39,0.88,0.89,0.90
215,0.20,0.20,0.20,0.20,0.20,0.08,0.08,0.08
216,0.24,0.24,0.24,0.25,0.25,0.30,0.30,0.30
217,0.54,0.55,0.57,0.61,0.63,0.91,0.91,0.92
218,4.99,5.34,5.63,6.26,6.73,5.72,6.19,6.51
219,0.54,0.59,0.63,0.70,0.76,0.59,0.65,0.74
220,0.36,0.39,0.40,0.42,0.44,0.38,0.39,0.39
221,0.25,0.25,0.26,0.27,0.27,0.30,0.30,0.30
222,0.20,0.22,0.22,0.23,0.26,0.16,0.18,0.19
223,0.28,0.28,0.29,0.29,0.29,0.30,0.30,0.30
224,1.22,1.35,1.49,1.70,1.98,1.71,1.98,2.13
225,0.24,0.25,0.25,0.25,0.25,0.41,0.41,0.41
226,0.22,0.22,0.23,0.23,0.23,0.32,0.32,0.32
227,0.28,0.28,0.30,0.30,0.30,0.46,0.47,0.47
228,0.19,0.19,0.19,0.20,0.20,0.15,0.15,0.15
229,0.16,0.16,0.16,0.16,0.16,0.05,0.05,0.05
230,0.13,0.13,0.13,0.13,0.13,0.37,0.37,0.37
231,0.27,0.28,0.28,0.28,0.28,0.20,0.20,0.20
232,0.20,0.20,0.21,0.21,0.22,0.11,0.11,0.11
233,0.22,0.22,0.22,0.22,0.22,0.11,0.11,0.11
234,0.08,0.08,0.08,0.08,0.08,0.01,0.01,0.01
235,0.18,0.18,0.18,0.18,0.18,0.12,0.12,0.12
236,0.17,0.17,0.17,0.17,0.17,0.05,0.05,0.05
237,0.26,0.27,0.30,0.35,0.38,0.26,0.29,0.31
238,0.12,0.13,0.13,0.13,0.13,0.09,0.09,0.09
239,0.24,0.25,0.26,0.28,0.30,0.23,0.25,0.26
240,0.28,0.29,0.30,0.32,0.34,0.27,0.28,0.30
241,0.19,0.19,0.19,0.19,0.19,0.12,0.12,0.12
242,0.24,0.24,0.25,0.26,0.26,0.25,0.26,0.26
243,0.20,0.21,0.21,0.22,0.22,0.09,0.10,0.11
244,0.13,0.13,0.13,0.13,0.13,0.02,0.02,0.02
245,0.29,0.31,0.32,0.35,0.35,0.32,0.33,0.34
246,0.25,0.26,0.26,0.27,0.27,0.49,0.49,0.50
247,0.22,0.23,0.23,0.23,0.23,0.17,0.17,0.17
248,0.18,0.18,0.18,0.20,0.20,0.25,0.25,0.28
249,0.20,0.20,0.21,0.22,0.22,0.11,0.11,0.11
250,0.49,0.52,0.54,0.58,0.65,0.55,0.61,0.65
251,0.25,0.25,0.25,0.26,0.26,0.18,0.19,0.19
252,0.25,0.25,0.25,0.25,0.25,0.23,0.23,0.23
253,0.22,0.22,0.22,0.22,0.22,0.08,0.08,0.08
254,0.28,0.28,0.29,0.31,0.32,0.17,0.19,0.19
255,3.78,3.98,4.32,4.70,5.10,4.59,4.95,5.16
256,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13
257,0.22,0.22,0.22,0.22,0.22,0.06,0.06,0.06
258,0.31,0.31,0.31,0.32,0.32,0.36,0.36,0.36
259,0.31,0.32,0.33,0.34,0.34,0.14,0.15,0.15
260,0.39,0.43,0.48,0.54,0.61,0.39,0.45,0.47
261,0.77,0.83,0.88,0.93,0.99,0.77,0.85,0.88
262,0.48,0.50,0.51,0.53,0.54,0.42,0.43,0.43
263,0.30,0.30,0.30,0.30,0.30,0.19,0.19,0.19
264,0.29,0.29,0.30,0.30,0.30,0.26,0.26,0.26
265,0.65,0.68,0.69,0.72,0.74,0.75,0.77,0.80
266,0.73,0.77,0.80,0.83,0.87,0.68,0.71,0.74
267,0.26,0.27,0.27,0.28,0.32,0.19,0.20,0.22
268,0.60,0.63,0.65,0.67,0.74,0.54,0.59,0.64
269,6.75,8.12,9.62,10.78,12.06,10.44,11.71,12.19
270,0.39,0.40,0.40,0.41,0.42,0.30,0.33,0.34
271,0.45,0.46,0.47,0.47,0.48,0.32,0.33,0.34
272,0.30,0.30,0.30,0.31,0.31,0.20,0.20,0.21
273,0.30,0.31,0.31,0.32,0.33,0.23,0.24,0.25
274,0.51,0.54,0.55,0.58,0.61,0.46,0.48,0.50
275,0.25,0.25,0.25,0.25,0.25,0.08,0.08,0.08
276,0.25,0.25,0.25,0.25,0.25,0.07,0.07,0.07
277,0.23,0.24,0.24,0.25,0.25,0.16,0.16,0.16
278,0.80,0.91,1.12,1.58,2.32,1.21,1.71,1.95
279,1.85,2.02,2.31,2.56,2.98,2.39,2.71,2.92
280,0.30,0.30,0.31,0.32,0.33,0.19,0.19,0.19
281,0.32,0.32,0.32,0.33,0.33,0.16,0.16,0.16
282,0.15,0.15,0.15,0.15,0.15,0.07,0.07,0.07
283,0.22,0.23,0.23,0.23,0.23,0.18,0.18,0.18
284,0.23,0.23,0.24,0.24,0.24,0.12,0.12,0.12
285,0.25,0.26,0.26,0.27,0.28,0.22,0.22,0.22
286,0.19,0.19,0.19,0.19,0.19,0.09,0.09,0.09
287,0.56,0.58,0.60,0.61,0.62,0.66,0.67,0.68
288,0.44,0.45,0.46,0.46,0.47,0.44,0.44,0.44
289,0.72,0.76,0.78,0.80,0.82,0.74,0.76,0.77
290,1.09,1.17,1.26,1.32,1.42,1.31,1.40,1.46
291,0.49,0.50,0.51,0.52,0.52,0.57,0.57,0.58
292,0.67,0.69,0.70,0.71,0.72,0.66,0.67,0.68
293,1.41,1.48,1.53,1.59,1.67,1.72,1.80,1.88
294,0.75,0.78,0.80,0.82,0.85,0.67,0.72,0.75
295,0.86,0.89,0.91,0.93,0.97,0.83,0.88,0.92
296,0.42,0.43,0.44,0.44,0.45,0.29,0.31,0.32
297,0.47,0.47,0.48,0.49,0.50,0.29,0.30,0.31
298,0.43,0.43,0.44,0.45,0.47,0.47,0.51,0.51
299,0.67,0.69,0.70,0.73,0.75,0.59,0.61,0.65
300,0.38,0.38,0.39,0.40,0.44,0.59,0.70,0.71
301,1.91,2.11,2.34,2.50,2.72,2.44,2.66,2.86
302,0.21,0.21,0.21,0.21,0.21,0.33,0.34,0.34
303,0.49,0.50,0.51,0.53,0.54,0.36,0.39,0.40
304,0.29,0.29,0.30,0.30,0.30,0.16,0.18,0.18
305,0.68,0.70,0.73,0.75,0.78,0.70,0.72,0.74
306,0.96,1.05,1.12,1.18,1.23,0.96,1.01,1.04
307,2.61,3.03,3.85,4.54,4.97,3.93,4.19,4.57
308,0.67,0.71,0.75,0.79,0.83,0.60,0.65,0.67
309,3.23,3.60,4.07,4.43,5.09,3.82,4.30,4.73
310,0.70,0.76,0.83,0.89,1.02,0.73,0.84,0.94
311,0.33,0.35,0.36,0.36,0.37,0.29,0.31,0.32
312,0.89,0.93,0.95,1.00,1.03,0.87,0.93,0.97
313,0.63,0.66,0.67,0.69,0.71,0.61,0.65,0.66
314,0.42,0.43,0.44,0.46,0.46,0.39,0.41,0.41
315,5.54,6.03,6.30,6.78,7.23,7.17,7.49,7.63
