uniqid_huc10,atmdep_so4_1985_huc10,atmdep_so4_1986_huc10,atmdep_so4_1987_huc10,atmdep_so4_1988_huc10,atmdep_so4_1989_huc10,atmdep_so4_1990_huc10,atmdep_so4_1991_huc10,atmdep_so4_1992_huc10,atmdep_so4_1993_huc10,atmdep_so4_1994_huc10,atmdep_so4_1995_huc10,atmdep_so4_1996_huc10,atmdep_so4_1997_huc10,atmdep_so4_1998_huc10,atmdep_so4_1999_huc10,atmdep_so4_2000_huc10,atmdep_so4_2001_huc10,atmdep_so4_2002_huc10,atmdep_so4_2003_huc10,atmdep_so4_2004_huc10,atmdep_so4_2005_huc10,atmdep_so4_2006_huc10,atmdep_so4_2007_huc10,atmdep_so4_2008_huc10,atmdep_so4_2009_huc10,atmdep_so4_2010_huc10,atmdep_so4_2011_huc10,atmdep_so4_2012_huc10
6012,1.5796,0.9276,1.2157,1.0747,1.9910,1.1428,1.7087,0.9946,2.4879,1.2413,1.9525,1.2749,1.0042,1.6347,1.1935,1.1885,0.8303,1.1025,1.0730,0.8821,1.5142,1.3853,0.8120,0.8046,1.2825,1.6019,1.1793,1.2811
6013,1.2834,0.5854,1.3948,1.4154,1.1151,1.2769,1.1657,0.9422,1.4038,1.0307,1.3600,0.8731,0.7495,1.5405,1.0058,0.8059,0.6281,0.9623,0.9467,0.5645,0.7971,0.7645,0.3901,0.4279,0.7312,0.5717,0.4184,0.4906
6014,3.0046,2.2109,3.3634,2.8957,2.0207,2.5358,2.3810,3.4151,2.7626,2.4198,2.4805,2.5883,3.6963,2.6520,2.0479,2.7943,2.1626,1.5585,1.5192,1.6939,2.4064,1.8398,1.4349,1.3973,1.6955,2.3095,2.1766,1.4583
6015,1.2171,1.4845,1.4417,0.9503,1.0822,1.2051,1.6203,1.9050,1.6071,0.8731,1.1818,0.7486,0.8579,1.3027,1.3057,0.7497,0.6455,0.4912,0.5333,0.9309,1.8149,0.7755,0.6992,0.6160,1.1182,0.7384,1.0195,0.7296
6016,1.0946,1.1104,1.1607,1.1895,1.0524,0.9936,1.1244,1.1884,1.6511,0.8235,1.0655,1.0752,0.7808,1.4004,1.3621,0.8389,0.6520,0.5309,0.7979,0.6624,1.4264,0.6830,0.6516,0.6905,0.8122,0.7565,0.7087,0.7769
6017,4.2801,5.5295,5.1946,5.6342,7.1331,4.5538,4.8384,4.7276,6.1697,3.7829,5.9140,7.6026,3.5100,6.4840,7.2773,4.3092,3.9119,5.8540,2.2206,1.4542,1.9624,2.2247,1.4247,2.0590,1.5706,4.6380,4.1431,5.0820
6018,3.8789,3.5569,3.5637,3.0353,3.0145,3.9568,2.6316,3.1298,3.3182,3.4665,3.2906,2.8817,4.1781,3.5856,2.7907,3.5634,2.2768,2.4799,2.3489,2.4341,2.6791,2.5758,2.3550,1.9930,2.1057,2.2973,2.2873,1.6736
6019,2.1093,2.5264,1.9611,1.6299,4.7133,1.8830,2.1084,1.5528,2.6047,2.0463,3.3521,1.9757,2.5753,2.6934,2.0940,1.7765,1.3059,2.0299,1.3740,1.6437,1.9588,2.0907,1.3662,1.0144,1.4284,1.4091,1.4945,1.4870
6020,1.5034,1.6045,1.5234,1.6257,1.5082,1.2565,1.9128,1.6088,2.1344,1.2789,1.2813,1.3926,0.9795,1.5957,1.4891,1.0335,0.8870,0.7011,1.0898,0.8920,1.5292,0.8834,0.7349,0.8202,0.8851,1.0951,0.9243,1.0945
6021,0.9625,1.0965,1.8885,1.4209,1.0439,1.2897,1.0695,1.1245,0.9093,0.9988,1.1530,0.6535,0.8686,1.6615,1.3944,0.7008,0.7350,0.7222,0.7005,0.7175,0.9531,0.6936,0.4495,0.4145,0.4960,0.6671,0.4655,0.6822
6022,0.7773,0.7786,1.1127,1.0160,0.6775,0.7363,0.7565,0.8019,1.2296,0.6361,0.8775,0.8295,0.5654,1.4831,1.1127,0.7430,0.7837,0.7744,0.6065,0.6320,0.6490,0.8172,0.3139,0.3634,0.5410,0.7775,0.6606,0.5352
