uniqid_huc10,nonfp_1987_huc10,nonfp_1988_huc10,nonfp_1989_huc10,nonfp_1990_huc10,nonfp_1991_huc10,nonfp_1992_huc10,nonfp_1993_huc10,nonfp_1994_huc10,nonfp_1995_huc10,nonfp_1996_huc10,nonfp_1997_huc10,nonfp_1998_huc10,nonfp_1999_huc10,nonfp_2000_huc10,nonfp_2001_huc10,nonfp_2002_huc10,nonfp_2003_huc10,nonfp_2004_huc10,nonfp_2005_huc10,nonfp_2006_huc10,nonfp_2007_huc10,nonfp_2008_huc10,nonfp_2009_huc10,nonfp_2010_huc10,nonfp_2011_huc10,nonfp_2012_huc10
2896,19.9,15.9274,0.0008,14.4552,20.3690,16.7582,15.8151,19.3502,24.1632,20.5280,19.2254,18.6257,18.8872,17.6284,14.9625,12.1830,15.6638,18.2944,11.9136,11.2599,11.7309,7.8529,7.0577,5.8750,5.8794,6.2966
2897,0.6,0.4819,0.8748,0.7519,0.7960,0.9546,0.9974,1.0016,1.8506,1.3449,1.2823,0.8458,0.8773,1.4521,1.4180,1.0233,1.1202,1.3244,1.1545,0.9848,1.1549,1.7867,0.8046,0.9058,0.7651,1.2158
2898,2.1,2.0880,1.9610,2.0927,2.0490,2.3130,2.7586,2.6586,3.0575,3.4759,3.3643,2.9717,3.1270,2.9025,3.1301,3.1917,2.9784,3.6826,3.2403,3.3784,3.4014,2.5723,1.6658,1.3926,1.8103,1.9187
2899,3.0,2.3231,2.2321,2.4496,2.7269,3.8087,4.3789,4.8054,6.0801,6.7023,6.3355,3.8093,4.2486,6.9405,9.1718,5.7328,6.1089,11.0039,5.2125,5.3895,6.5855,9.4307,8.4224,4.8245,1.2443,3.0375
2900,10.1,7.4283,8.0560,8.2235,8.6323,8.9153,11.4577,10.1495,8.6352,10.6368,11.5331,6.0639,6.6963,10.5922,10.4501,7.3889,8.2064,10.0953,11.3243,10.6484,9.3265,6.4785,4.2042,3.9502,4.3486,3.9555
2901,0.9,1.0434,0.9404,1.2639,1.0775,1.1362,1.7824,1.5686,2.2409,1.8496,1.9078,1.5892,1.5529,1.7843,1.8357,1.7598,1.7696,3.0001,3.7663,2.6111,2.5886,2.3250,2.5029,1.3780,1.0675,0.8745
2902,6.7,7.7927,9.2082,11.6522,7.8251,16.7364,13.1591,22.2509,32.1591,21.6399,18.8996,13.0180,13.4805,16.2074,15.2562,13.1004,13.8622,16.6495,11.4242,9.6028,12.7593,15.0061,6.8130,4.1554,7.0460,6.5381
2903,9.1,9.0253,8.2925,8.3773,10.0191,10.8092,12.4087,10.9491,12.8531,16.8489,12.8940,10.9877,12.5683,12.2677,12.5342,13.1108,11.9093,13.4717,11.4963,12.0709,10.3715,8.6887,5.7123,4.8628,6.1674,7.7991
2904,0.4,0.2878,0.2677,0.2869,0.3131,0.4558,0.5132,0.5526,0.6797,0.7324,0.6509,0.3803,0.4130,0.6630,0.8658,0.5271,0.5503,0.9645,0.4457,0.4484,0.4751,0.6714,0.5941,0.3367,0.0855,0.2069
2905,0.7,0.5147,0.6319,0.7656,0.8437,1.1887,1.4825,1.3820,1.2178,1.6018,1.4952,0.9221,0.8811,1.1698,1.2148,1.3831,1.4213,2.4485,0.8721,0.6888,0.9652,0.8604,0.6213,0.5806,0.6837,0.7668
2906,27.9,23.3588,0.0000,23.0248,34.1431,30.8820,33.3929,43.0159,56.1708,50.4575,48.1241,47.8669,51.0014,48.6382,43.9703,37.6723,52.2373,64.3346,44.0244,43.9097,44.8344,30.9367,28.7045,24.8094,26.0276,28.9628
2907,33.9,33.8691,33.9442,38.9351,28.1908,33.6645,43.2484,49.3663,53.8410,46.2065,61.7885,56.9033,49.7680,41.5244,46.2853,44.0014,44.2498,66.7060,63.1464,67.3418,82.4081,55.8004,36.3166,30.3819,40.6483,34.0405
2908,4.9,3.7135,3.4822,3.7275,4.0463,5.5498,6.2686,6.7655,8.3966,8.9776,8.3387,4.9475,5.4055,8.7789,11.4722,6.9977,7.4422,13.1794,6.1204,6.1936,6.6985,9.5343,8.4624,4.8214,1.2291,2.9704
2909,1.1,1.2256,1.3775,0.0479,0.0629,0.3281,0.1867,0.3798,0.5779,0.4770,0.1398,0.0480,0.1289,0.1439,0.3362,0.2520,0.1002,0.2732,0.1404,0.0657,0.1010,0.1579,0.2247,0.0943,0.3984,0.0876
2910,2.9,3.1226,3.4139,0.1170,0.1493,0.7648,0.4274,0.8555,1.2773,1.0412,0.3039,0.1048,0.2718,0.3007,0.6919,0.5051,0.1938,0.5310,0.2671,0.1209,0.1930,0.2971,0.4155,0.1718,0.7166,0.1563
2911,16.0,18.5080,22.8740,29.1963,19.6788,41.8665,33.1320,56.6866,83.1730,57.0565,48.7884,34.5578,35.9461,43.7806,42.3797,36.8632,39.5836,48.7853,34.3935,30.1294,36.1756,42.8582,19.6884,12.2023,21.0886,20.0003
2912,42.8,49.1479,55.2806,1.9462,2.5731,13.5557,7.8227,16.0794,24.6844,20.4770,9.2224,3.2198,8.6366,9.8868,23.5675,17.1816,6.6285,17.9834,9.0944,4.1290,6.9531,10.7821,15.2168,6.3205,26.6111,5.8697
2913,6.6,5.1416,4.9562,5.3564,5.8379,8.1531,9.3161,10.1464,12.7270,13.8609,12.5249,7.4750,8.2290,13.3875,17.6869,10.9402,11.6376,20.8781,9.8276,10.0672,11.2157,16.0681,14.3596,8.1779,2.0918,5.1165
2914,0.8,0.5913,0.5592,0.6025,0.6556,0.9105,1.0225,1.1008,1.3856,1.5050,1.3724,0.8222,0.9019,1.4732,1.9249,1.1872,1.2650,2.2614,1.0548,1.0742,1.1134,1.6131,1.4296,0.8127,0.2077,0.5072
