uniqid_huc10,malat_high1992_huc10,malat_high1997_huc10,malat_high2002_huc10,malat_high2007_huc10,malat_high2012_huc10,malat_low1992_huc10,malat_low1997_huc10,malat_low2002_huc10,malat_low2007_huc10,malat_low2012_huc10
1593,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1595,0.0141,0.0996,0.0041,0.0130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1597,3.4045,9.5425,1.1595,0.2347,0.0410,0.0541,8.7333,0.6169,0.0029,0.0049
1598,0.0170,0.0079,0.0128,0.0089,0.0077,0.0050,0.0045,0.0092,0.0000,0.0045
1599,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1600,0.2468,3.1433,0.5531,0.4524,0.2125,0.0391,0.0317,0.2689,0.0000,0.0072
1601,0.4043,0.4822,0.0874,0.0476,0.0406,0.0363,0.1164,0.0006,0.0313,0.0004
1602,0.0812,0.6917,0.0003,0.0440,0.1916,0.0797,0.6908,0.0003,0.0440,0.0000
1603,0.0006,0.0006,0.0006,0.0007,0.0000,0.0006,0.0006,0.0006,0.0007,0.0000
1604,0.0004,0.0027,0.0018,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1605,0.0024,0.0022,0.0044,0.0030,0.0001,0.0003,0.0001,0.0000,0.0000,0.0000
1606,0.0257,0.0142,0.0406,0.0195,0.0002,0.0067,0.0086,0.0358,0.0136,0.0002
1607,0.0002,0.0009,0.0007,0.0029,0.0010,0.0002,0.0009,0.0007,0.0029,0.0010
1608,0.2784,0.2087,0.1582,0.0691,0.0040,0.0036,0.0433,0.1582,0.0000,0.0000
1609,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1610,0.2686,3.0149,0.1506,0.1919,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000
1611,0.1411,1.3487,0.1506,0.5516,0.2507,0.0000,0.0000,0.0000,0.0000,0.1460
1612,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001
1613,0.0607,0.9138,0.3492,0.1986,0.0187,0.0015,0.3442,0.0004,0.0000,0.0187
1614,0.0109,0.1020,0.0019,0.0061,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000
1615,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1616,0.0000,0.0000,0.0006,0.0016,0.0000,0.0000,0.0000,0.0005,0.0001,0.0000
1617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1618,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1619,0.1447,1.8558,0.1409,0.0242,0.2471,0.0000,0.0029,0.0000,0.0000,0.0000
1620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1621,0.0327,6.0037,0.3563,0.1282,0.0114,0.0004,5.9179,0.0042,0.1275,0.0002
1622,0.0353,0.0272,0.0069,0.0033,0.0001,0.0348,0.0001,0.0024,0.0000,0.0000
1623,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1624,0.1692,0.3466,0.0387,0.0153,0.0315,0.0473,0.3303,0.0310,0.0101,0.0315
1625,1.4680,0.6742,0.4118,1.0602,0.0325,0.0242,0.1901,0.3449,0.0819,0.0294
1626,0.0314,0.2391,0.0021,0.0158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1627,0.3137,1.8579,0.1374,0.2516,0.2237,0.0012,0.0066,0.0057,0.1682,0.0000
1628,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1629,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1631,0.2006,0.2013,0.0760,0.0479,0.0018,0.1140,0.0059,0.0001,0.0262,0.0005
1632,0.4474,0.8348,0.0839,0.0992,0.1937,0.0900,0.3792,0.0100,0.0172,0.0279
1633,1.9775,0.8436,0.0863,0.0082,0.0200,0.0070,0.0107,0.0000,0.0000,0.0000
1634,0.0003,0.0002,0.0001,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000
1635,0.0030,0.0018,0.0008,0.0005,0.0001,0.0030,0.0000,0.0001,0.0000,0.0001
1636,0.0267,0.0592,0.0134,0.0287,0.0025,0.0010,0.0270,0.0001,0.0047,0.0005
